코드,발송일,유형코드,수량,
466200,20110106,1878,31,
466200,20110117,1878,31,
466200,20110131,1878,17,
466200,20110210,1878,21,
466200,20110221,1878,23,
466200,20110228,1815,1,
466200,20110228,1878,22,
466200,20110310,1355,1,
466200,20110310,1878,10,
466200,20110314,1878,4,
466200,20110324,1878,32,
466200,20110328,1878,5,
466200,20110331,1692,1,
466200,20110331,1041,3,
466200,20110331,1878,14,
466200,20110411,1878,28,
466200,20110418,1878,2,
466200,20110425,1878,45,
466200,20110509,1815,3,
466200,20110509,1878,25,
466200,20110512,1878,2,
466200,20110519,1878,19,
466200,20110523,1878,1,
466200,20110530,1878,24,
466200,20110616,1878,33,
466200,20110620,1878,2,
466200,20110627,1878,7,
466200,20110630,1878,1,
466200,20110711,1692,2,
466200,20110711,1878,29,
466200,20110711,1627,1,
466200,20110718,1878,1,
466200,20110725,1815,1,
466200,20110725,1878,30,
466200,20110730,1878,1,
466198,20110111,1627,1,
466198,20110214,1815,1,
466198,20110404,1815,0,
466198,20110627,1373,1,
466198,20110630,1373,3,
466198,20110707,1373,2,
466198,20110718,1373,2,
466197,20110110,1373,4,
466197,20110131,1373,1,
466197,20110207,1373,3,
466197,20110221,1373,3,
466197,20110228,1373,2,
466197,20110307,1373,1,
466197,20110314,1373,1,
466197,20110321,1373,2,
466197,20110330,1373,3,
466197,20110404,1091,4,
466197,20110411,1373,2,
466197,20110418,1373,1,
466197,20110427,1373,1,
466197,20110509,1373,4,
466197,20110516,1373,1,
466197,20110530,1091,4,
466197,20110613,1373,1,
466197,20110627,1373,7,
466197,20110712,1373,1,
466197,20110725,1373,3,
466196,20110105,1373,10,
466196,20110112,1373,10,
466196,20110119,1373,4,
466196,20110126,1373,8,
466196,20110216,1373,13,
466196,20110301,1373,3,
466196,20110309,1373,3,
466196,20110316,1373,4,
466196,20110323,1373,19,
466196,20110330,1373,3,
466196,20110406,1373,1,
466196,20110413,1373,11,
466196,20110420,1373,2,
466196,20110427,1373,2,
466196,20110504,1373,10,
466196,20110518,1373,5,
466196,20110525,1373,11,
466196,20110601,1373,7,
466196,20110608,1373,2,
466196,20110622,1373,14,
466196,20110629,1373,2,
466196,20110706,1373,2,
466196,20110727,1373,7,
466189,20110228,1878,10,
466189,20110331,1878,4,
466189,20110523,1878,10,
466189,20110628,1878,6,
466189,20110715,1878,2,
466188,20110618,1041,2,
466185,20110118,1878,1,
466185,20110118,1627,5,
466185,20110218,1627,1,
466185,20110308,1627,7,
466185,20110422,1627,3,
466185,20110524,1627,1,
466185,20110630,1878,13,
466185,20110630,1627,10,
466185,20110707,1878,2,
466185,20110714,1815,1,
466184,20110104,1041,1,
466184,20110106,1041,6,
466184,20110108,1815,1,
466184,20110111,1041,1,
466184,20110113,1041,12,
466184,20110115,1041,1,
466184,20110118,1041,1,
466184,20110120,1041,1,
466184,20110122,1041,1,
466184,20110125,1041,1,
466184,20110129,1815,1,
466184,20110201,1041,1,
466184,20110208,1041,1,
466184,20110210,1041,59,
466184,20110212,1041,1,
466184,20110215,1041,1,
466184,20110217,1041,1,
466184,20110219,1041,1,
466184,20110222,1041,1,
466184,20110225,1815,17,
466184,20110225,1041,14,
466184,20110226,1815,1,
466184,20110303,1815,20,
466184,20110303,1041,14,
466184,20110305,1815,1,
466184,20110308,1041,1,
466184,20110310,1815,17,
466184,20110312,1041,1,
466184,20110315,1041,1,
466184,20110317,1815,18,
466184,20110319,1815,1,
466184,20110322,1041,1,
466184,20110323,1815,12,
466184,20110323,1041,8,
466184,20110324,1041,1,
466184,20110326,1041,1,
466184,20110329,1041,1,
466184,20110331,1815,17,
466184,20110331,1041,21,
466184,20110402,1815,1,
466184,20110405,1041,1,
466184,20110407,1815,9,
466184,20110407,1041,5,
466184,20110409,1815,1,
466184,20110412,1041,1,
466184,20110414,1815,26,
466184,20110414,1041,31,
466184,20110419,1041,1,
466184,20110421,1815,5,
466184,20110421,1041,19,
466184,20110423,1041,8,
466184,20110426,1041,1,
466184,20110428,1815,14,
466184,20110428,1041,24,
466184,20110503,1815,7,
466184,20110503,1041,2,
466184,20110507,1041,13,
466184,20110512,1815,10,
466184,20110514,1041,57,
466184,20110517,1815,1,
466184,20110519,1815,2,
466184,20110519,1041,21,
466184,20110521,1041,8,
466184,20110524,1041,1,
466184,20110526,1041,7,
466184,20110528,1041,14,
466184,20110531,1815,2,
466184,20110531,1041,18,
466184,20110602,1878,1,
466184,20110604,1041,1,
466184,20110607,1041,1,
466184,20110609,1815,3,
466184,20110609,1041,25,
466184,20110611,1041,25,
466184,20110614,1041,1,
466184,20110616,1041,38,
466184,20110618,1041,19,
466184,20110623,1041,23,
466184,20110625,1041,4,
466184,20110626,1041,6,
466184,20110630,1041,39,
466184,20110702,1041,5,
466184,20110705,1041,1,
466184,20110707,1041,48,
466184,20110709,1041,3,
466184,20110712,1041,1,
466184,20110714,1041,54,
466184,20110719,1041,1,
466184,20110721,1041,30,
466184,20110723,1041,2,
466184,20110726,1041,1,
466184,20110728,1041,22,
466184,20110730,1041,19,
466184,20110731,1815,1,
466183,20110107,1041,2,
466183,20110121,1041,1,
466183,20110222,1041,1,
466183,20110325,1815,1,
466183,20110325,1041,1,
466183,20110406,1041,1,
466183,20110428,1815,2,
466183,20110428,1041,8,
466183,20110524,1261,1,
466183,20110603,1041,7,
466183,20110603,1878,1,
466183,20110603,1627,1,
466183,20110610,1041,1,
466183,20110721,1041,80,
466172,20110111,1815,6,
466172,20110111,1656,1,
466172,20110113,1815,1,
466172,20110118,1815,2,
466172,20110122,1815,1,
466172,20110127,1815,1,
466172,20110210,1815,2,
466172,20110224,1815,1,
466172,20110315,1815,1,
466172,20110627,1815,2,
466172,20110704,1815,1,
466172,20110725,1815,1,
466166,20110207,1396,1,
466166,20110207,1815,34,
466166,20110224,1815,16,
466161,20110104,1815,3,
466161,20110104,1692,3,
466161,20110219,1815,1,
466161,20110308,1815,1,
466161,20110317,1815,1,
466161,20110317,1692,4,
466161,20110409,1815,1,
466161,20110409,1692,5,
466161,20110526,1815,1,
466161,20110608,1692,2,
466161,20110623,1815,2,
466161,20110711,1815,1,
466161,20110721,1815,3,
466161,20110721,1692,2,
466160,20110201,1692,1,
466160,20110302,1692,1,
466160,20110322,1692,1,
466160,20110419,1692,3,
466160,20110517,1692,7,
466160,20110615,1692,6,
466160,20110705,1692,7,
466158,20110106,1815,4,
466158,20110108,1815,4,
466158,20110111,1853,1,
466158,20110113,1815,2,
466158,20110115,1815,11,
466158,20110118,1815,3,
466158,20110118,1692,1,
466158,20110120,1815,1,
466158,20110122,1815,5,
466158,20110125,1815,4,
466158,20110129,1815,3,
466158,20110130,1815,2,
466158,20110201,1815,8,
466158,20110205,1815,3,
466158,20110208,1853,1,
466158,20110210,1815,3,
466158,20110212,1815,1,
466158,20110215,1815,3,
466158,20110219,1815,15,
466158,20110223,1815,16,
466158,20110226,1815,6,
466158,20110301,1815,1,
466158,20110303,1815,4,
466158,20110305,1815,4,
466158,20110308,1815,3,
466158,20110312,1815,10,
466158,20110315,1815,9,
466158,20110317,1815,3,
466158,20110319,1815,2,
466158,20110322,1815,2,
466158,20110326,1815,22,
466158,20110327,1815,4,
466158,20110331,1815,7,
466158,20110402,1815,2,
466158,20110405,1815,12,
466158,20110407,1815,11,
466158,20110409,1815,2,
466158,20110412,1815,10,
466158,20110414,1815,2,
466158,20110416,1815,8,
466158,20110419,1815,1,
466158,20110421,1815,11,
466158,20110423,1815,4,
466158,20110426,1815,8,
466158,20110428,1815,1,
466158,20110430,1815,2,
466158,20110503,1815,12,
466158,20110505,1815,9,
466158,20110507,1815,7,
466158,20110510,1815,8,
466158,20110512,1815,1,
466158,20110514,1815,10,
466158,20110517,1815,18,
466158,20110519,1815,1,
466158,20110521,1815,9,
466158,20110524,1815,12,
466158,20110526,1815,12,
466158,20110528,1815,9,
466158,20110529,1815,1,
466158,20110530,1815,1,
466158,20110601,1815,8,
466158,20110604,1815,3,
466158,20110606,1815,1,
466158,20110609,1815,25,
466158,20110611,1815,9,
466158,20110614,1815,9,
466158,20110616,1815,6,
466158,20110618,1815,15,
466158,20110621,1815,7,
466158,20110623,1815,51,
466158,20110623,1041,1,
466158,20110625,1815,4,
466158,20110626,1815,4,
466158,20110628,1815,9,
466158,20110630,1815,2,
466158,20110701,1815,2,
466158,20110702,1815,4,
466158,20110705,1815,13,
466158,20110707,1815,5,
466158,20110710,1815,2,
466158,20110712,1815,2,
466158,20110714,1815,3,
466158,20110716,1815,2,
466158,20110719,1815,7,
466158,20110721,1815,25,
466158,20110721,1041,6,
466158,20110723,1815,2,
466158,20110726,1815,13,
466158,20110730,1815,14,
466152,20110201,1815,18,
466151,20110111,1815,1,
466151,20110115,1815,1,
466151,20110121,1815,2,
466151,20110127,1815,1,
466151,20110201,1815,1,
466151,20110210,1815,1,
466151,20110217,1815,1,
466151,20110222,1815,1,
466151,20110301,1815,1,
466151,20110319,1815,5,
466151,20110325,1815,1,
466151,20110326,1815,1,
